| end of split   2 /  3 | epoch  72 | time:  2.92s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  72 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  73 | time:  2.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  73 | time:  7.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  73 | time:  0.91s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  74 | time:  2.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  74 | time:  7.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  74 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  75 | time:  0.91s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  75 | time:  7.92s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  75 | time:  2.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  76 | time:  0.91s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  76 | time:  2.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  76 | time:  7.95s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  77 | time:  8.02s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  77 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  77 | time:  2.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  78 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  78 | time:  2.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  78 | time:  7.95s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  79 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  79 | time:  2.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  79 | time:  7.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  80 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  80 | time:  2.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  80 | time:  7.96s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  81 | time:  0.95s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
