| end of split   2 /  3 | epoch  66 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  66 | time:  7.95s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  67 | time:  0.92s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  67 | time:  7.96s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  67 | time:  2.95s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  68 | time:  2.95s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  68 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  68 | time:  7.96s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  69 | time:  0.91s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  69 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  69 | time:  7.97s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  70 | time:  0.95s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  70 | time:  7.96s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  70 | time:  2.97s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  71 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  71 | time:  7.96s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  71 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  72 | time:  2.95s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  72 | time:  7.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  72 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  73 | time:  7.95s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  73 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  73 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  74 | time:  7.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  74 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  74 | time:  2.93s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  75 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  75 | time:  7.93s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  75 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  76 | time:  2.93s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  76 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  76 | time:  7.91s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  77 | time:  2.93s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  77 | time:  7.98s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  77 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  78 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
